year,fips,state_name,race,num_stu_total,num_stu_9_10,num_stu_11,num_stu_12,num_stu_pub_total,num_stu_pub_9_10,num_stu_pub_11,num_stu_pub_12,num_grad_ap,num_grad_pass_ap,ap_mandate,ap_funding
2002,4,Arizona,Asian,737,88,308,327,647,73,270,291,,,0,0
2002,4,Arizona,Black,146,11,52,80,119,7,48,61,,,0,0
2002,4,Arizona,Hispanic,909,111,351,425,769,86,307,355,,,0,0
2002,4,Arizona,Total,9766,1062,3920,4539,8189,790,3386,3795,5100,3285,0,0
2002,4,Arizona,White,6987,746,2836,3243,5822,551,2441,2686,,,0,0
2003,4,Arizona,Asian,820,121,326,356,718,109,290,305,,,0,0
2003,4,Arizona,Black,171,15,70,80,155,15,64,71,,,0,0
2003,4,Arizona,Hispanic,1033,124,383,487,898,111,333,419,,,0,0
2003,4,Arizona,Total,10699,1088,4419,4841,9114,927,3816,4054,5719,3715,0,0
2003,4,Arizona,White,7551,708,3197,3422,6383,585,2751,2840,,,0,0
2004,4,Arizona,Asian,906,139,379,353,819,120,345,320,,,0,0
2004,4,Arizona,Black,204,18,85,87,177,12,78,75,,,0,0
2004,4,Arizona,Hispanic,1191,107,503,526,1052,100,449,455,,,0,0
2004,4,Arizona,Total,11535,1243,4676,5127,9893,998,4063,4393,6352,3641,0,0
2004,4,Arizona,White,8016,818,3239,3651,6794,635,2784,3102,,,0,0
2005,4,Arizona,Asian,1121,179,459,460,1003,161,412,411,,,0,0
2005,4,Arizona,Black,249,26,116,100,225,21,104,94,,,0,0
2005,4,Arizona,Hispanic,1583,154,645,721,1446,139,596,650,,,0,0
2005,4,Arizona,Total,13642,1588,5823,5819,11790,1346,5072,5017,7255,5474,0,0
2005,4,Arizona,White,9175,1056,4007,3867,7818,877,3438,3295,,,0,0
2006,4,Arizona,Asian,1296,225,528,515,1184,210,487,460,,,0,0
2006,4,Arizona,Black,353,45,150,139,317,39,137,123,,,0,0
2006,4,Arizona,Hispanic,2657,406,1107,1048,2389,385,985,932,,,0,0
2006,4,Arizona,Total,15946,2182,6655,6457,13841,1943,5831,5510,8099,4929,0,0
2006,4,Arizona,White,10367,1356,4367,4291,8853,1175,3778,3596,,,0,0
2007,4,Arizona,Asian,1497,295,612,560,1354,260,563,502,,,0,0
2007,4,Arizona,Black,464,71,208,172,423,65,191,155,,,0,0
2007,4,Arizona,Hispanic,3595,595,1541,1326,3315,574,1418,1202,,,0,0
2007,4,Arizona,Total,18200,2645,7780,7235,16055,2379,6938,6261,9087,5428,0,0
2007,4,Arizona,White,11250,1466,4885,4626,9751,1288,4295,3936,,,0,0
2008,4,Arizona,Asian,1739,379,691,644,1568,338,632,580,,,0,0
2008,4,Arizona,Black,570,104,246,208,534,102,230,194,,,0,0
2008,4,Arizona,Hispanic,4531,937,1771,1668,4248,921,1644,1537,,,0,0
2008,4,Arizona,Total,20236,3510,8206,7975,18235,3270,7388,7098,10572,5985,0,0
2008,4,Arizona,White,12026,1889,4930,4972,10635,1725,4365,4348,,,0,0
2009,4,Arizona,Asian,1952,465,714,732,1791,435,654,665,,,0,0
2009,4,Arizona,Black,702,139,299,242,659,135,281,224,,,0,0
2009,4,Arizona,Hispanic,5266,1058,2097,1940,4921,1010,1931,1818,,,0,0
2009,4,Arizona,Total,22154,4240,8677,8598,19938,3957,7751,7671,11367,6484,0,0
2009,4,Arizona,White,12519,2302,4910,5031,11023,2119,4293,4385,,,0,0
2010,4,Arizona,Asian,2111,580,793,690,1915,530,718,624,,,0,0
2010,4,Arizona,Black,755,149,295,288,699,130,282,264,,,0,0
2010,4,Arizona,Hispanic,6095,1124,2376,2384,5705,1046,2230,2228,,,0,0
2010,4,Arizona,Total,23590,4435,9209,9206,21197,3946,8334,8249,12335,6963,0,0
2010,4,Arizona,White,12780,2297,5051,5167,11220,1995,4460,4532,,,0,0
2011,4,Arizona,Asian,2392,664,836,831,2184,621,763,743,,,0,0
2011,4,Arizona,Black,785,142,344,279,734,138,317,260,,,0,0
2011,4,Arizona,Hispanic,6571,1150,2645,2494,6145,1089,2465,2331,,,0,0
2011,4,Arizona,Total,25284,4826,9977,9671,22682,4418,8936,8601,13297,7675,0,0
2011,4,Arizona,White,13526,2496,5332,5387,11836,2239,4652,4673,,,0,0
2012,4,Arizona,Asian,2728,781,947,844,2515,733,870,757,,,0,0
2012,4,Arizona,Black,909,170,381,343,838,159,349,315,,,0,0
2012,4,Arizona,Hispanic,7472,1364,3024,2987,6950,1308,2785,2770,,,0,0
2012,4,Arizona,Total,28468,5904,11151,10723,25594,5434,10031,9486,14407,8307,0,0
2012,4,Arizona,White,14929,3076,5866,5714,13121,2776,5183,4909,,,0,0
2013,4,Arizona,Asian,3153,890,1057,956,2893,833,963,851,,,0,0
2013,4,Arizona,Black,1049,217,448,362,968,201,420,325,,,0,0
2013,4,Arizona,Hispanic,8509,1763,3447,3125,7931,1703,3187,2874,,,0,0
2013,4,Arizona,Total,30479,6878,11852,10748,27543,6419,10683,9482,14980,8769,0,0
2013,4,Arizona,White,15818,3555,6149,5691,13973,3267,5418,4892,,,0,0
2014,4,Arizona,Asian,3413,1051,1015,1003,3124,983,917,887,,,0,0
2014,4,Arizona,Black,1114,285,426,366,1042,269,399,338,,,0,0
2014,4,Arizona,Hispanic,9407,1938,3934,3262,8757,1875,3629,2988,,,0,0
2014,4,Arizona,Total,32673,7584,12626,11123,29596,7060,11453,9787,15806,9080,0,0
2014,4,Arizona,White,16611,3803,6457,5828,14713,3456,5774,4977,,,0,0
2015,4,Arizona,Asian,3611,1173,1127,938,3299,1100,1016,817,,,0,0
2015,4,Arizona,Black,1117,247,482,358,1045,231,459,328,,,0,0
2015,4,Arizona,Hispanic,10162,2386,4146,3401,9502,2295,3875,3121,,,0,0
2015,4,Arizona,Total,35121,8793,13667,11320,31851,8147,12396,10034,17169,9796,0,0
2015,4,Arizona,White,17292,4215,6777,5827,15323,3808,6012,5058,,,0,0
2016,4,Arizona,Asian,3333,1181,1013,839,3044,1103,915,730,,,0,0
2016,4,Arizona,Black,983,235,383,338,925,225,354,320,,,0,0
2016,4,Arizona,Hispanic,13381,3369,5471,4279,12574,3241,5120,3958,,,0,0
2016,4,Arizona,Total,37176,9862,14413,11659,33897,9194,13129,10379,17768,10132,0,0
2016,4,Arizona,White,16917,4430,6551,5517,14964,4016,5815,4734,,,0,0
2017,4,Arizona,Asian,3534,1307,1077,879,3232,1196,983,784,,,0,0
2017,4,Arizona,Black,1015,250,410,330,933,232,378,300,,,0,0
2017,4,Arizona,Hispanic,14895,3829,5995,4799,14012,3700,5607,4445,,,0,0
2017,4,Arizona,Total,39784,10827,15431,12361,36359,10139,14062,11045,18738,10734,0,0
2017,4,Arizona,White,17444,4623,6861,5537,15518,4243,6101,4778,,,0,0
2018,4,Arizona,Asian,3803,1433,1206,864,3413,1301,1064,754,,,0,0
2018,4,Arizona,Black,1040,319,387,315,965,297,358,292,,,0,0
2018,4,Arizona,Hispanic,15206,3962,6019,5019,14179,3746,5612,4627,,,0,0
2018,4,Arizona,Total,40793,11734,15449,12501,37104,10805,14091,11136,20156,11392,0,0
2018,4,Arizona,White,17528,5120,6647,5434,15595,4630,5969,4683,,,0,0
2019,4,Arizona,Asian,4109,1586,1216,972,3669,1433,1081,837,,,0,0
2019,4,Arizona,Black,1121,314,446,344,1045,294,422,313,,,0,0
2019,4,Arizona,Hispanic,15187,4103,5890,4997,14203,3888,5510,4616,,,0,0
2019,4,Arizona,Total,40860,12160,15221,12481,37054,11208,13787,11119,20253,11912,0,0
2019,4,Arizona,White,17321,5187,6568,5282,15295,4692,5768,4573,,,0,0
2000,5,Arkansas,Total,,,,,,,,,2208,1166,0,0
2001,5,Arkansas,Asian,163,26,65,68,152,25,60,63,,,0,0
2001,5,Arkansas,Black,246,24,107,104,242,23,107,101,,,0,0
2001,5,Arkansas,Hispanic,43,4,15,23,37,2,14,20,,,0,0
2001,5,Arkansas,Total,4142,388,1832,1811,3663,333,1635,1591,2336,1187,0,0
2001,5,Arkansas,White,3482,316,1570,1521,3048,267,1387,1325,,,0,0
2002,5,Arkansas,Asian,223,27,95,99,206,26,90,88,,,0,0
2002,5,Arkansas,Black,281,26,115,132,277,26,115,129,,,0,0
2002,5,Arkansas,Hispanic,41,9,18,13,36,7,16,12,,,0,0
2002,5,Arkansas,Total,4602,411,2010,2079,4137,368,1832,1850,2630,1333,0,0
2002,5,Arkansas,White,3818,329,1672,1745,3401,292,1508,1540,,,0,0
2003,5,Arkansas,Asian,212,33,77,98,198,30,72,93,,,0,0
2003,5,Arkansas,Black,333,41,139,149,326,41,137,144,,,0,0
2003,5,Arkansas,Hispanic,69,11,29,29,66,11,28,27,,,0,0
2003,5,Arkansas,Total,5251,551,2275,2305,4803,504,2125,2071,2955,1509,0,0
2003,5,Arkansas,White,4376,425,1935,1929,3966,382,1796,1717,,,0,0
2004,5,Arkansas,Asian,264,42,103,109,246,37,98,105,,,0,0
2004,5,Arkansas,Black,602,102,233,233,595,101,228,232,,,0,0
2004,5,Arkansas,Hispanic,106,14,39,51,101,13,38,48,,,0,0
2004,5,Arkansas,Total,6674,883,2796,2712,6100,775,2564,2496,3469,1658,0,0
2004,5,Arkansas,White,5339,659,2285,2189,4819,563,2070,1992,,,0,0
2005,5,Arkansas,Asian,408,64,159,176,390,61,150,171,,,1,1
2005,5,Arkansas,Black,1878,318,693,787,1866,315,687,785,,,1,1
2005,5,Arkansas,Hispanic,214,27,78,101,212,27,77,100,,,1,1
2005,5,Arkansas,Total,13883,1849,5654,5909,13267,1764,5417,5638,6393,2050,1,1
2005,5,Arkansas,White,10610,1317,4436,4542,10069,1241,4230,4300,,,1,1
2006,5,Arkansas,Asian,464,100,166,184,431,98,153,167,,,1,1
2006,5,Arkansas,Black,2069,373,819,782,2043,370,809,770,,,1,1
2006,5,Arkansas,Hispanic,494,78,180,220,487,78,178,215,,,1,1
2006,5,Arkansas,Total,15705,2423,6275,6299,15120,2316,6054,6068,8038,2652,1,1
2006,5,Arkansas,White,11949,1748,4863,4890,11457,1648,4680,4702,,,1,1
2007,5,Arkansas,Asian,526,98,217,194,490,91,204,179,,,1,1
2007,5,Arkansas,Black,2053,341,804,817,2020,334,792,804,,,1,1
2007,5,Arkansas,Hispanic,623,107,234,254,611,106,230,247,,,1,1
2007,5,Arkansas,Total,16804,2638,6787,6619,16018,2476,6509,6305,8781,2620,1,1
2007,5,Arkansas,White,12861,1961,5282,5101,12198,1822,5046,4834,,,1,1
2008,5,Arkansas,Asian,594,112,208,264,550,102,192,248,,,1,1
2008,5,Arkansas,Black,2265,427,839,921,2237,424,829,906,,,1,1
2008,5,Arkansas,Hispanic,728,104,274,319,720,101,271,318,,,1,1
2008,5,Arkansas,Total,17729,2646,7092,7356,17039,2508,6832,7083,9682,3081,1,1
2008,5,Arkansas,White,13400,1896,5517,5590,12818,1775,5302,5358,,,1,1
2009,5,Arkansas,Asian,631,131,221,257,571,120,204,226,,,1,1
2009,5,Arkansas,Black,2567,582,975,913,2533,574,960,903,,,1,1
2009,5,Arkansas,Hispanic,939,174,383,354,930,173,379,350,,,1,1
2009,5,Arkansas,Total,19115,3253,7569,7552,18435,3153,7318,7250,9973,3210,1,1
2009,5,Arkansas,White,14101,2217,5703,5736,13558,2138,5498,5498,,,1,1
2010,5,Arkansas,Asian,696,151,253,272,640,140,235,247,,,1,1
2010,5,Arkansas,Black,2876,504,1194,1058,2854,501,1184,1050,,,1,1
2010,5,Arkansas,Hispanic,1226,170,513,483,1211,168,506,478,,,1,1
